"HS4","PCI_2019"
7224,0.5156
7225,1.5474
7226,1.2768
7227,0.4582
7228,0.2784
7229,1.0763
7301,0.1401
7302,0.4636
7303,0.1697
7304,0.0413
7305,0.6634
7306,-0.463
7307,0.9717
7308,0.4792
7309,0.0814
7310,0.0949
7311,0.1164
7312,-0.0209
7313,-1.1074
7314,0.0397
7315,1.5163
7316,0.2316
7317,-0.6078
7318,1.5296
7319,1.1297
7320,1.0693
7321,0.3099
7322,0.7241
7323,-0.2939
7324,0.5858
7325,0.0381
7326,1.0077
7401,-1.2931
7402,-1.6581
7403,-1.4062
7404,-0.9535
7405,0.0736
7406,-0.0813
7407,0.2859
7408,-0.2569
7409,0.2775
7410,0.8713
7411,0.437
7412,0.7774
7413,0.1287
7415,1.0412
7418,0.2258
7419,0.7416
7501,-1.5435
7502,0.1991
7503,0.5973
7504,0.7214
7505,1.3446
7506,1.9919
7507,1.0603
7508,0.6148
7601,-1.0191
7602,-0.9745
7603,0.1516
7604,-0.0184
7605,-0.6921
7606,0.8351
7607,0.5573
7608,0.331
7609,1.083
7610,0.3457
7611,0.3242
7612,0.1111
7613,0.6399
7614,-0.4931
7615,-0.4623
7616,0.7003
7801,-1.3956
7802,-0.824
7804,0.0121
7806,-0.3703
7901,-0.3986
7902,-0.8497
7903,0.3194
7904,0.3624
7905,0.6077
7907,0.7334
8001,-0.2889
8002,0.3267
8003,0.9945
8007,-0.0147
8101,1.2678
8102,1.0437
8103,1.1534
8104,0.8096
8105,-1.1761
8106,0.4489
8107,0.0896
8108,0.4616
8109,0.3744
8110,-0.8949
8111,0.2443
8112,0.3693
8113,1.9728
8201,-0.1098
8202,1.6957
8203,1.0579
8204,0.9798
8205,1.0534
8206,0.447
8207,1.9405
8208,1.3574
8209,2.2777
8210,0.7376
8211,0.7856
8212,-0.3158
8213,0.3262
8214,0.0645
8215,-0.2477
8301,0.7487
8302,0.8848
8303,0.9877
8304,0.3336
8305,0.9553
8306,0.0726
8307,0.5122
8308,0.6797
8309,0.0371
8310,0.6126
8311,0.708
8401,1.2295
8402,0.6045
8403,1.1042
8404,0.7572
8405,0.7773
8406,0.9736
8407,1.203
8408,1.387
8409,1.0323
8410,-0.2211
8411,0.7027
8412,0.7768
8413,1.2368
8414,0.8691
8415,0.5554
8416,1.3732
8417,0.9821
8418,0.5903
8419,1.1688
8420,1.6074
8421,1.0875
8422,1.1456
8423,0.5935
8424,0.973
8425,0.773
8426,0.1572
8427,1.5902
8428,1.1197
8429,0.2463
8430,-0.6685
8431,0.7675
8432,0.7983
8433,0.8408
8434,0.2298
8435,0.1128
8436,0.8986
8437,-0.081
8438,0.6493
8439,1.5904
8440,1.348
8441,1.1909
8442,0.8895
8443,1.3806
8444,2.2578
8445,1.0914
8446,0.7249
8447,0.8649
8448,1.629
8449,1.3972
8450,0.4684
8451,1.3371
8452,0.2427
8453,0.5478
8454,1.2362
8455,1.1873
8456,1.8537
8457,2.2328
8458,1.9002
8459,1.1211
8460,1.7532
8461,1.606
8462,1.7631
8463,1.018
8464,1.2163
8465,1.2351
8466,1.8606
8467,0.9081
8468,0.8961
8469,0.3662
8470,0.395
8471,1.4195
8472,0.8427
8473,1.3182
8474,0.1215
8475,1.5667
8476,0.857
8477,1.7621
8478,0.1055
8479,1.8273
8480,1.4895
8481,1.5832
8482,1.1228
8483,1.1287
8484,1.4016
8485,0.8603
8501,0.7644
8502,0.5967
8503,0.7395
8504,0.8345
8505,1.2435
8506,0.3786
8507,0.98
8508,1.3975
8509,1.1174
8510,1.181
8511,0.4265
8512,0.742
8513,0.506
8514,1.7396
8515,1.8156
8516,0.5821
8517,0.5174
8518,0.5632
8519,0.8251
8520,0.5955
8521,0.8356
8522,1.236
8523,1.3124
8524,0.7395
8525,0.5607
8526,1.6022
8527,0.4426
8528,0.1513
8529,0.5397
8530,1.0263
8531,0.7231
8532,1.2598
