NACE2,HS2017,weight
10.13,1602.42,0.0025
10.13,0210.11,0.0033
10.13,1601.00,0.2555
10.13,1602.31,0.0285
10.13,1602.90,0.0206
10.13,0210.19,0.0197
10.13,1602.49,0.038
10.13,1602.50,0.0683
10.13,0210.93,0
10.13,1602.41,0.058
10.13,0210.92,0.0001
10.13,1602.20,0.0705
10.13,0210.12,0.0301
10.13,1602.39,0.0427
10.13,0210.20,0.0125
10.2,0308.12,0
10.2,0305.69,0.0001
10.2,0307.52,0.0027
10.2,0511.91,0.0058
10.2,0306.92,0.0001
10.2,1605.52,0.005
10.2,0307.39,0.0002
10.2,0306.91,0.0001
10.2,0303.64,0
10.2,0303.44,0.0099
10.2,0305.63,0.0006
10.2,1605.59,0.0018
10.2,0303.67,0
10.2,1605.57,0
10.2,0304.82,0.0007
10.2,0305.39,0.0005
10.2,0306.14,0.012
10.2,1604.17,0.0002
10.2,0304.32,0.0001
10.2,0304.52,0.0003
10.2,1604.31,0.0169
10.2,0304.81,0.0236
10.2,0305.43,0.0009
10.2,0305.44,0.0001
10.2,0304.72,0.0004
10.2,0303.59,0.0005
10.2,1605.63,0
10.2,0307.22,0.0264
10.2,0307.43,0.0156
10.2,0303.82,0
10.2,0304.49,0.0177
10.2,0303.54,0.0005
10.2,0303.42,0.0896
10.2,0306.32,0.0003
10.2,0303.57,0
10.2,2301.20,0.0318
10.2,0303.91,0.0002
10.2,0304.92,0.0043
10.2,0303.26,0.0002
10.2,0304.51,0
10.2,0307.79,0.0002
10.2,0304.31,0.0001
10.2,1604.20,0.0754
10.2,0307.29,0.0052
10.2,1604.32,0.0026
10.2,1604.15,0.0122
10.2,0303.31,0.0002
10.2,1605.56,0.0005
10.2,0304.41,0.0596
10.2,0304.45,0.0034
10.2,0303.13,0.002
10.2,0304.33,0.0037
10.2,0303.53,0.0031
10.2,0304.87,0.0209
10.2,0308.29,0
10.2,0303.51,0.0002
10.2,0304.93,0.0002
10.2,0304.85,0.0003
10.2,0304.42,0.0029
10.2,0307.83,0
10.2,0305.41,0.055
10.2,0307.59,0.0009
10.2,0305.53,0
10.2,0303.23,0
10.2,0303.14,0.0054
10.2,0304.57,0.0002
10.2,0303.81,0.0002
10.2,0308.90,0.0009
10.2,1604.12,0.0007
10.2,0305.54,0
10.2,1605.21,0.0139
10.2,1604.19,0.066
10.2,1605.58,0.0162
10.2,1605.30,0.0008
10.2,0305.31,0
10.2,1605.40,0.0027
10.2,0304.53,0.0008
10.2,0307.99,0.0007
10.2,0303.55,0.0017
10.2,0305.10,0.0019
10.2,0304.84,0.0012
10.2,1605.69,0.0006
10.2,1604.14,0.0169
10.2,1605.51,0.0015
10.2,0304.83,0.0013
10.2,0305.20,0.001
10.2,0306.99,0.0005
10.2,1604.11,0.0207
10.2,0302.91,0.0006
10.2,1605.29,0.0175
10.2,0303.66,0.0003
10.2,0304.61,0
10.2,1604.16,0.0069
10.2,0306.15,0.0034
10.2,0303.19,0.0002
10.2,0304.71,0.009
10.2,0305.59,0.0001
10.2,1605.54,0.019
10.2,0304.74,0.0017
10.2,0304.89,0.0037
10.2,0304.95,0.0021
10.2,0305.79,0
10.2,0307.12,0.001
10.2,0308.22,0.0001
10.2,0303.41,0.0039
10.2,0303.29,0
10.2,0305.62,0.0002
10.2,0305.51,0.0018
10.2,0303.34,0.0003
10.2,0303.25,0
10.2,0304.62,0.0002
10.2,0304.39,0.0002
10.2,0306.95,0.0031
10.2,0303.69,0.0002
10.2,0304.47,0
10.2,0304.86,0
10.2,0303.99,0.0034
10.2,0303.39,0.0002
10.2,0305.42,0.001
10.2,0304.73,0.0044
10.2,1605.10,0.0037
10.2,0304.59,0.0011
10.2,0303.33,0.0003
10.2,0304.48,0.0001
10.2,0304.63,0
10.2,0303.84,0.0015
10.2,1605.61,0
10.2,0303.24,0.0001
10.2,0304.54,0.0002
10.2,0306.93,0.0003
10.2,0303.63,0.0006
10.2,0302.99,0.0003
10.2,1605.55,0.0005
10.2,0305.49,0.0011
10.2,0306.94,0.0002
10.2,0305.61,0
10.2,0303.12,0.0008
10.2,0303.65,0.0001
10.2,0307.49,0.0016
10.2,0303.68,0
10.2,0306.16,0.0022
10.2,0307.19,0.0004
10.2,0303.83,0.0037
10.2,0304.69,0
10.2,0307.32,0.0005
10.2,0306.12,0.0115
10.2,0304.79,0.0061
10.2,0303.49,0
10.2,1605.62,0
10.2,0303.32,0.0003
10.2,1604.13,0.006
10.2,0307.92,0.0046
10.2,0306.17,0.0936
10.2,0304.75,0.0117
10.2,0305.32,0.0005
10.2,0304.44,0.0135
10.2,0306.11,0.0109
10.2,0307.72,0.0073
10.2,0304.94,0.0004
10.2,0305.72,0.0008
10.2,0304.43,0.0048
10.2,0303.11,0.0026
10.2,0303.43,0.0326
10.2,1605.53,0.0036
10.2,0303.45,0
10.2,0303.89,0.0034
10.2,0306.19,0.0018
10.2,0304.88,0.0001
10.2,0304.99,0.0071
10.31,1105.20,0.008
10.31,1105.10,0.0055
10.31,2005.20,0.1442
10.31,2004.10,0.8386
10.31,0710.10,0.0023
10.31,0712.90,0.0013
10.32,2009.31,0.0184
10.32,2009.71,0.0887
10.32,2009.90,0.1724
10.32,2009.19,0.0364
10.32,2009.49,0.0111
10.32,2009.69,0.0051
